Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Males,Non_worker_Females,Total_Rural_Urban_Rural,Total_Rural_Urban_Total,Total_Rural_Urban_Urban,Disability_Any_Other,Disability_In_Hearing,Disability_In_Movement,Disability_In_Seeing,Disability_In_Speech,Disability_Mental_Illness,Disability_Mental_Retardation,Disability_Multiple_Disability,Disability_Total,Age_group_0to14,Age_group_15to59,Age_group_60+,Age_group_AgeNotStated,Age_group_Total
14988593,11826401,5464857,1517152,330999,258862,1276969,895547,7915768,9154840,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3073214,2499122,61870,38909,15517,13517,53125,45101,2942702,2401595,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9125226,6603017,4559220,1249589,237652,182093,1010364,704080,3317990,4467255,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2713995,2662624,816764,219620,76515,62293,205807,140733,1614909,2239978,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
76158,61638,27003,9034,1315,959,7673,5633,40167,46012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2639028,2394403,1045667,301121,60091,56796,240276,187968,1292994,1848518,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
555599,488749,11277,7167,2716,2436,10308,8833,531298,470313,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1433200,1172017,822461,232761,37327,35567,176126,138217,397286,765472,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
637136,722249,206951,59539,19787,18613,52414,39809,357984,604288,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13093,11388,4978,1654,261,180,1428,1109,6426,8445,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2678584,2394330,1117992,339030,59007,56661,267084,222284,1234501,1776355,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
617214,559990,16368,11132,3584,3536,15136,13859,582126,531463,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1537949,1304433,909971,274630,39395,39193,203709,172937,384874,817673,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
