Total_disabled_population_Persons,Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Persons,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Persons,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Persons,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Persons,Non_worker_Males,Non_worker_Females,cluster
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
0.20780672,0.20503686,0.21131721,0.014434097,0.011321431,0.02564608,0.049221765,0.046879295,0.05221701,0.045213014,0.041602418,0.0503614,0.3130701,0.37175193,0.26233062,2
0.5865466,0.6088114,0.5583285,0.8319681,0.83427984,0.82364124,0.7115998,0.717984,0.70343655,0.7891514,0.7912205,0.78620106,0.45606136,0.4191621,0.48796648,1
0.20050794,0.1810707,0.22514237,0.14843635,0.14945753,0.14475808,0.23532324,0.23116384,0.24064173,0.15951091,0.16116837,0.15714753,0.22582014,0.20401166,0.24467692,2
0.005138767,0.005081064,0.0052118986,0.0051614083,0.0049412088,0.005954578,0.0038551455,0.003972822,0.0037046766,0.0061246958,0.0060087596,0.0062900106,0.005048385,0.005074302,0.0050259754,0
0.18770957,0.1760691,0.20246252,0.19289406,0.19134389,0.1984778,0.19816025,0.18154435,0.21940649,0.19711892,0.18816118,0.20989183,0.18403047,0.1633441,0.20191702,2
0.03894642,0.03706812,0.041326944,0.0026416467,0.002063549,0.004723983,0.008734261,0.008205463,0.0094104195,0.008810522,0.008072239,0.009863245,0.058674593,0.06711894,0.051373154,0
0.097155236,0.09561938,0.099101745,0.15113443,0.1505,0.1534197,0.123578265,0.112770736,0.13739753,0.14469077,0.13792504,0.15433808,0.06811462,0.050189193,0.08361392,2
0.050694957,0.04250806,0.061070904,0.0381681,0.037869427,0.039243925,0.06510008,0.059779637,0.07190318,0.04244986,0.041045632,0.04445216,0.056370106,0.045224164,0.06600749,0
0.0009129594,0.000873531,0.0009629303,0.00094986986,0.0009109113,0.0010902006,0.00074763375,0.000788522,0.00069535116,0.0011677705,0.001118273,0.0012383492,0.00087114645,0.0008117974,0.00092246284,0
0.189182,0.17870817,0.20245636,0.20868234,0.20457846,0.22346476,0.19609365,0.17826942,0.21888496,0.22525404,0.20915465,0.24821031,0.17637661,0.15595467,0.19403452,2
